,title,country,region,rank_display,score,url,faculty_tot,faculty_int,student_tot,student_int
22,King's College London,United Kingdom,Europe,23.0,86.9,https://www.topuniversities.com/universities/kings-college-london#wurs,3650.0,1513.0,23780.0,9451.0
23,The University of Edinburgh,United Kingdom,Europe,23.0,86.9,https://www.topuniversities.com/universities/university-edinburgh#wurs,4075.0,1553.0,28040.0,10551.0
24,Tsinghua University,China,Asia,25.0,85.6,https://www.topuniversities.com/universities/tsinghua-university#wurs,5506.0,932.0,36300.0,4072.0
25,The University of Hong Kong,Hong Kong,Asia,26.0,85.5,https://www.topuniversities.com/universities/university-hong-kong#wurs,3012.0,2085.0,20214.0,8230.0
26,"University of California, Berkeley (UCB)",United States,North America,27.0,84.9,https://www.topuniversities.com/universities/university-california-berkeley-ucb#wurs,3321.0,1395.0,36703.0,6086.0
27,Northwestern University,United States,North America,28.0,84.8,https://www.topuniversities.com/universities/northwestern-university#wurs,4231.0,1141.0,18675.0,3422.0
28,The University of Tokyo,Japan,Asia,28.0,84.8,https://www.topuniversities.com/universities/university-tokyo#wurs,4514.0,254.0,27279.0,2639.0
29,The Hong Kong University of Science and Technology,Hong Kong,Asia,30.0,84.3,https://www.topuniversities.com/universities/hong-kong-university-science-technology#wurs,1150.0,835.0,10375.0,2921.0
30,University of Toronto,Canada,North America,31.0,84.0,https://www.topuniversities.com/universities/university-toronto#wurs,9581.0,3905.0,72207.0,21910.0
31,McGill University,Canada,North America,32.0,83.9,https://www.topuniversities.com/universities/mcgill-university#wurs,3646.0,1220.0,28837.0,9540.0
32,"University of California, Los Angeles (UCLA)",United States,North America,33.0,83.6,https://www.topuniversities.com/universities/university-california-los-angeles-ucla#wurs,2859.0,662.0,40114.0,6887.0
33,The University of Manchester,United Kingdom,Europe,34.0,83.0,https://www.topuniversities.com/universities/university-manchester#wurs,4910.0,1653.0,36670.0,13514.0
34,London School of Economics and Political Science (LSE),United Kingdom,Europe,35.0,81.8,https://www.topuniversities.com/universities/london-school-economics-political-science-lse#wurs,1088.0,687.0,9760.0,6748.0
35,Kyoto University,Japan,Asia,36.0,81.5,https://www.topuniversities.com/universities/kyoto-university#wurs,4060.0,293.0,22974.0,1990.0
36,Seoul National University,South Korea,Asia,36.0,81.5,https://www.topuniversities.com/universities/seoul-national-university#wurs,3930.0,433.0,28064.0,2331.0
38,"University of California, San Diego (UCSD)",United States,North America,38.0,80.8,https://www.topuniversities.com/universities/university-california-san-diego-ucsd#wurs,3694.0,870.0,32237.0,6644.0
